code,name,date,netAssetValue,accumulativeTotalTetValue,dailyGrowthRate,weekGrowthRate,oneMothGrowthRate,threeMothGrowthRate,sixMothGrowthRate,oneYearGrowthRate,twoYearGrowthRate,threeYearGrowthRate,nowYearGrowthRate,setUpGrowthRate,customGrowthRate,serviceChargeRate
006321	,中欧预见养老2035(FOF)A,2020-09-04,1.4562,1.4562,-0.44,-0.76,1.03,13.02,14.83,28.73,,,21.81,45.62,,0.12%
006307	,嘉实养老2040混合(FOF),2020-09-04,1.4064,1.4064,-0.58,-0.76,-0.02,18.16,18.73,35.82,,,28.22,40.64,,0.08%
003950	,博时鑫润混合A,2020-09-08,1.3027,1.4406,0.02,-0.77,2.75,10.88,12.55,18.87,40.62,41.55,14.24,47.3677,18.3548,0.08%
002489	,国泰民福策略价值混合,2020-09-08,1.3748,1.3748,-0.04,-0.77,1.43,10.19,11.75,21.52,32.57,34.92,17.03,37.48,21.2680,0.12%
006322	,中欧预见养老2035(FOF)C,2020-09-04,1.4452,1.4452,-0.44,-0.77,1,12.91,14.60,28.21,,,21.49,44.52,,0.00%
006973	,太平睿盈混合A,2020-09-08,1.1188,1.1848,0.30,-0.77,0.74,8.59,8.44,15.07,,,12.18,18.9085,14.4159,0.10%
007669	,太平睿盈混合C,2020-09-08,1.1126,1.1786,0.31,-0.77,0.70,8.47,8.16,14.50,,,11.80,16.2879,13.8395,0.00%
007249	,广发均衡养老三年持有混合(FOF),2020-09-04,1.2048,1.2048,-0.70,-0.77,0.17,14.66,14.85,,,,18.14,20.48,,0.15%
253010	,国联安安心成长混合,2020-09-08,0.7650,2.1550,0.26,-0.78,0.92,8.51,10.23,16.44,26.45,9.60,13,167.4808,16.1339,0.15%
003484	,金鹰鑫益混合A,2020-09-08,1.2242,1.2242,-0.11,-0.78,-0.11,3.90,4.42,9.75,15.65,18.03,7.77,22.42,9.4677,0.10%
003485	,金鹰鑫益混合C,2020-09-08,1.2272,1.2272,-0.12,-0.78,-0.13,3.86,4.35,9.64,15.59,18.47,7.69,22.72,9.3636,0.00%
003951	,博时鑫润混合C,2020-09-08,1.3009,1.4395,0.02,-0.78,2.74,10.84,12.49,18.76,40.32,41.12,14.15,47.2864,18.2279,0.08%
096001	,大成标普500等权重指数,2020-09-07,1.7870,2.0610,0,-0.78,-0.28,-3.09,4.02,-2.85,2.70,21.54,-8,111.6170,-3.3069,0.15%
005274	,中银景福回报混合,2020-09-08,1.2178,1.3178,0.11,-0.78,0.18,6.77,6.50,13.49,31.32,,9.79,33.1073,12.7015,0.12%
006445	,华夏全球聚享A人民币,2020-09-07,0.9707,0.9707,0.02,-0.78,-1.41,-1.12,-5.66,-8.12,,,-11.46,-2.93,-8.2167,0.10%
210010	,金鹰灵活配置混合A,2020-09-08,1.4945,1.7619,0.07,-0.79,1.71,12.84,14.05,21.24,34.16,40,17.62,89.8580,21.0113,0.08%
501000	,国金鑫新灵活配置(LOF),2020-09-08,1.0070,1.0070,0.40,-0.79,-1.08,-2.80,-3.64,4.14,1.10,-12.28,-1.18,0.70,3.6157,0.15%
002192	,东方鼎新灵活配置混合C,2020-09-08,1.5020,1.5020,0.11,-0.79,1.06,7.96,9.47,14.13,42.83,31.64,12,43.8973,13.9266,0.00%
360013	,光大信用添益债券A,2020-09-08,1.2490,1.7870,0.24,-0.79,0.89,15.60,19.76,31.48,40.53,45.18,27.91,103.4939,29.9820,0.08%
001196	,东方鼎新灵活配置混合A,2020-09-08,1.4915,1.4915,0.11,-0.79,1.08,8.03,9.64,14.50,43.70,30.43,12.24,49.15,14.2923,0.08%
003493	,申万菱信安鑫优选混合A,2020-09-08,1.2610,1.3060,-0.16,-0.79,2.02,9.65,10.03,16.33,28.63,26.65,14.64,31.5932,16.5129,0.07%
003512	,申万菱信安鑫优选混合C,2020-09-08,1.2530,1.2980,-0.16,-0.79,1.95,9.53,9.91,16.02,28.22,25.99,14.43,30.7796,16.0962,0.00%
005576	,华泰柏瑞新金融地产混合,2020-09-08,1.0809,1.0809,0.99,-0.79,0.14,11.40,3.85,6.85,23.35,,-3.78,8.09,5.4275,0.15%
006289	,华夏养老2040(FOF),2020-09-04,1.3764,1.3884,-0.65,-0.79,-0.14,13.86,14.69,28.87,,,23.08,39.1432,,0.15%
006448	,华夏全球聚享C人民币,2020-09-07,0.9648,0.9648,0.02,-0.79,-1.45,-1.22,-5.85,-8.50,,,-11.71,-3.52,-8.5931,0.00%
007232	,万家平衡养老目标三年(FOF),2020-09-04,1.2358,1.2358,-0.51,-0.79,0.39,11.39,10.80,19.69,,,14.42,23.58,,0.12%
007747	,海富通平衡养老(FOF),2020-09-04,1.1482,1.1482,-0.48,-0.79,0.10,11.62,15.30,,,,,14.82,,1.20%
000672	,工银绝对收益混合发起B,2020-09-08,1.2420,1.2420,0,-0.80,0,4.55,6.61,16.07,17.28,14.89,12.81,24.20,15.9664,0.00%
000215	,广发趋势优选灵活配置混合A,2020-09-08,1.5851,1.9841,-0.04,-0.80,-0.27,3.41,4.44,9.30,18.96,27.35,6.32,104.8304,9.1959,0.15%
000377	,上投摩根双债增利债券A,2020-09-08,1.1180,1.5420,-0.09,-0.80,-0.36,2.44,1.53,7.22,14.72,11.82,4.39,63.8247,7.0175,0.08%
002015	,南方荣光A,2020-09-08,1.3650,1.3650,0.15,-0.80,0.66,12.25,13.47,16.07,23.98,29.63,14.42,36.50,15.6064,0.15%
519610	,银河旺利混合A,2020-09-08,1.2370,1.3670,-0.08,-0.80,-1.83,11.64,14.35,20.83,30.75,32.17,19.43,39.5192,20.8233,0.15%
